"level","metric","denoise_method","taxonomy_method","dataset","total","unassigned","percent_unassigned"
"species","taxa","dada2","RDP","ringtrial_sean",17,3,17.65
"species","taxa","metabeat","RDP","ringtrial_sean",17,3,17.65
"species","taxa","vsearch","RDP","ringtrial_sean",17,3,17.65
"species","taxa","dada2","VSEARCH","ringtrial_sean",21,3,14.29
"species","taxa","metabeat","VSEARCH","ringtrial_sean",20,3,15
"species","taxa","vsearch","VSEARCH","ringtrial_sean",20,3,15
"species","taxa","dada2","BLAST","windermere_2017",21,3,14.29
"species","taxa","metabeat","BLAST","windermere_2017",23,3,13.04
"species","taxa","vsearch","BLAST","windermere_2017",21,3,14.29
"species","taxa","dada2","MAPseq","windermere_2017",22,3,13.64
"species","taxa","metabeat","MAPseq","windermere_2017",24,3,12.5
"species","taxa","vsearch","MAPseq","windermere_2017",22,3,13.64
"species","taxa","dada2","MetaBEAT","windermere_2017",1,1,100
"species","taxa","metabeat","MetaBEAT","windermere_2017",15,1,6.67
"species","taxa","vsearch","MetaBEAT","windermere_2017",1,1,100
"species","taxa","dada2","RDP","windermere_2017",24,4,16.67
"species","taxa","metabeat","RDP","windermere_2017",26,4,15.38
"species","taxa","vsearch","RDP","windermere_2017",26,4,15.38
"species","taxa","dada2","VSEARCH","windermere_2017",38,5,13.16
"species","taxa","metabeat","VSEARCH","windermere_2017",38,5,13.16
"species","taxa","vsearch","VSEARCH","windermere_2017",37,4,10.81
"genus","Reads","dada2","BLAST","marchamley",3798138,2803321,73.81
"genus","Reads","dada2","BLAST","ringtrial_sean",4623797,1503821,32.52
"genus","Reads","dada2","BLAST","windermere_2017",1897654,1271389,67
"genus","Reads","dada2","MAPseq","marchamley",3785063,2513397,66.4
"genus","Reads","dada2","MAPseq","ringtrial_sean",4615800,1421446,30.8
"genus","Reads","dada2","MAPseq","windermere_2017",1886452,1251090,66.32
"genus","Reads","dada2","MetaBEAT","marchamley",3806274,3806274,100
"genus","Reads","dada2","MetaBEAT","ringtrial_sean",4647662,4647662,100
"genus","Reads","dada2","MetaBEAT","windermere_2017",1905468,1905468,100
"genus","Reads","dada2","RDP","marchamley",3793021,1809177,47.7
"genus","Reads","dada2","RDP","ringtrial_sean",4613342,1364807,29.58
"genus","Reads","dada2","RDP","windermere_2017",1887643,1100854,58.32
"genus","Reads","dada2","VSEARCH","marchamley",3777094,1201521,31.81
"genus","Reads","dada2","VSEARCH","ringtrial_sean",4612312,1314656,28.5
"genus","Reads","dada2","VSEARCH","windermere_2017",1878163,831973,44.3
"genus","Reads","metabeat","BLAST","marchamley",3387415,2513975,74.22
"genus","Reads","metabeat","BLAST","ringtrial_sean",1476747,471952,31.96
"genus","Reads","metabeat","BLAST","windermere_2017",1529341,1034987,67.68
"genus","Reads","metabeat","MAPseq","marchamley",3373036,2272677,67.38
"genus","Reads","metabeat","MAPseq","ringtrial_sean",1464594,433662,29.61
"genus","Reads","metabeat","MAPseq","windermere_2017",1516279,1005522,66.32
"genus","Reads","metabeat","MetaBEAT","marchamley",3339824,2192316,65.64
"genus","Reads","metabeat","MetaBEAT","ringtrial_sean",1413317,767691,54.32
"genus","Reads","metabeat","MetaBEAT","windermere_2017",1492504,1237395,82.91
"genus","Reads","metabeat","RDP","marchamley",3375710,2412772,71.47
"genus","Reads","metabeat","RDP","ringtrial_sean",1468396,417470,28.43
"genus","Reads","metabeat","RDP","windermere_2017",1521716,991598,65.16
"genus","Reads","metabeat","VSEARCH","marchamley",3349928,1188974,35.49
"genus","Reads","metabeat","VSEARCH","ringtrial_sean",1467651,396487,27.02
"genus","Reads","metabeat","VSEARCH","windermere_2017",1511841,675437,44.68
"genus","Reads","vsearch","BLAST","marchamley",3682486,2708184,73.54
"genus","Reads","vsearch","BLAST","ringtrial_sean",4577119,1492618,32.61
"genus","Reads","vsearch","BLAST","windermere_2017",1747580,1170001,66.95
"genus","Reads","vsearch","MAPseq","marchamley",3670391,2425995,66.1
"genus","Reads","vsearch","MAPseq","ringtrial_sean",4569142,1411786,30.9
"genus","Reads","vsearch","MAPseq","windermere_2017",1739442,1155244,66.41
"genus","Reads","vsearch","MetaBEAT","marchamley",3689842,3689842,100
"genus","Reads","vsearch","MetaBEAT","ringtrial_sean",4600269,4600269,100
"genus","Reads","vsearch","MetaBEAT","windermere_2017",1753882,1753882,100
"genus","Reads","vsearch","RDP","marchamley",3676381,1711534,46.55
"genus","Reads","vsearch","RDP","ringtrial_sean",4566561,1355902,29.69
"genus","Reads","vsearch","RDP","windermere_2017",1740519,1017857,58.48
"genus","Reads","vsearch","VSEARCH","marchamley",3663806,1153749,31.49
"genus","Reads","vsearch","VSEARCH","ringtrial_sean",4565843,1307055,28.63
"genus","Reads","vsearch","VSEARCH","windermere_2017",1732967,775127,44.73
"genus","ASV","dada2","BLAST","marchamley",2783,2724,97.88
"genus","ASV","metabeat","BLAST","marchamley",7666,7158,93.37
"genus","ASV","vsearch","BLAST","marchamley",1415,1380,97.53
"genus","ASV","dada2","MAPseq","marchamley",2763,2685,97.18
"genus","ASV","metabeat","MAPseq","marchamley",7548,6849,90.74
"genus","ASV","vsearch","MAPseq","marchamley",1402,1363,97.22
"genus","ASV","dada2","MetaBEAT","marchamley",2791,2791,100
"genus","ASV","metabeat","MetaBEAT","marchamley",7639,7379,96.6
"genus","ASV","vsearch","MetaBEAT","marchamley",1423,1423,100
"genus","ASV","dada2","RDP","marchamley",2656,2537,95.52
"genus","ASV","metabeat","RDP","marchamley",7444,6543,87.9
"genus","ASV","vsearch","RDP","marchamley",1360,1324,97.35
"genus","ASV","dada2","VSEARCH","marchamley",2733,2544,93.08
"genus","ASV","metabeat","VSEARCH","marchamley",7471,5764,77.15
"genus","ASV","vsearch","VSEARCH","marchamley",1381,1308,94.71
"genus","ASV","dada2","BLAST","ringtrial_sean",250,175,70
"genus","ASV","metabeat","BLAST","ringtrial_sean",1577,1001,63.47
"genus","ASV","vsearch","BLAST","ringtrial_sean",155,122,78.71
"genus","ASV","dada2","MAPseq","ringtrial_sean",239,158,66.11
"genus","ASV","metabeat","MAPseq","ringtrial_sean",1454,874,60.11
"genus","ASV","vsearch","MAPseq","ringtrial_sean",138,102,73.91
"genus","ASV","dada2","MetaBEAT","ringtrial_sean",275,275,100
"genus","ASV","metabeat","MetaBEAT","ringtrial_sean",1524,1266,83.07
